Feature,F_statistic,p_value
covariance_yz,23.820272651203293,1.1408696797371541e-22
correlation_yz,23.818292714782707,1.145220314458249e-22
z_norm_dominant_freq,19.14784718720445,1.2076222687199562e-18
y_norm_fft_coef_4,17.496872130735877,3.6788360331845724e-17
z_norm_fft_coef_4,10.563721578033565,1.4729870064818888e-10
y_norm_fft_coef_3,9.854387683722772,7.534832411892901e-10
y_norm_min,8.638497851475517,1.2734468816157955e-08
z_norm_max,7.739913021323552,1.0511794171992211e-07
z_norm_range,6.841025691139141,8.808592036972755e-07
z_norm_peak_to_peak,6.841025691139141,8.808592036972755e-07
y_norm_skewness,5.810452771013318,1.0186704252220378e-05
z_norm_min,5.709854788076398,1.2938962296670368e-05
x_norm_median,4.563300602999974,0.0001963622994451118
auc_y,4.176475387098266,0.0004884590986982535
magnitude_min,4.094412865367806,0.0005922092949851234
x_norm_min,3.89949137388691,0.0009345814204092762
autocorr_x,3.6791500988487527,0.001561437383324152
autocorr_z,3.651416763981958,0.0016652859169714413
z_norm_median,3.606649616037696,0.0018474869472402727
covariance_xz,3.6056209519889286,0.0018518969608516311
correlation_xz,3.604990288862031,0.0018546058302128345
magnitude_range,3.5673029173168906,0.0020237845045822495
y_norm_range,3.5279414531759223,0.0022167344085029994
y_norm_peak_to_peak,3.5279414531759223,0.0022167344085029994
jerk_z_mean,3.385333108230304,0.003080144204082085
magnitude_max,3.0215167906029867,0.007070109236324653
z_norm_fft_coef_3,2.9730337084109344,0.007889658291354183
x_norm_fft_coef_4,2.8694616584214625,0.009963157655585768
x_norm_std,2.5596965324265097,0.019843542481070255
x_norm_spectral_entropy,2.5580071011208325,0.019917427779233464
y_norm_dominant_freq,2.552515081108433,0.020159452805722285
y_norm_zero_crossing_rate,2.5093630096521156,0.022162282360599
x_norm_fft_coef_1,2.506185504250815,0.022317105760826884
jerk_x_mean,2.490645935585342,0.023089385259715774
x_norm_dominant_freq,2.4734225010699786,0.023975383247435367
auc_z,2.417080450116338,0.027107708709783365
covariance_xy,2.353590370804912,0.03110744020365445
correlation_xy,2.353223763068579,0.0311320977618923
z_norm_spectral_entropy,2.321263651115945,0.03335497999045397
total_peaks,2.308043442597986,0.03431808741412626
x_norm_fft_coef_2,2.3064072307837673,0.03443911581257951
x_norm_zero_crossing_rate,2.238462005784203,0.03983978226399354
total_troughs,2.1887702378795506,0.04428916957384067
y_norm_spectral_centroid,2.1713544985308624,0.045957089407176466
x_norm_spectral_energy,2.1532161518294166,0.04775728184111949
y_norm_spectral_energy,2.1532151280786325,0.04775738530184095
z_norm_spectral_energy,2.153214846358971,0.04775741377259481
x_norm_band_power_0_10Hz,2.146987417788597,0.04839069418897943
y_norm_band_power_0_10Hz,2.1463238328809737,0.0484586411908162
z_norm_band_power_0_10Hz,2.144901546273079,0.04860457818577316
z_norm_kurtosis,2.1206799991829546,0.051154472000541414
y_norm_spectral_entropy,2.113800622296562,0.05190137618334154
x_norm_skewness,2.063645052075768,0.05766526501833841
z_norm_energy,1.9992366780117399,0.06594975137315515
x_norm_peak_to_peak,1.9794089038466895,0.0687159858050522
x_norm_range,1.9794089038466895,0.0687159858050522
z_norm_var,1.9542424508940197,0.07238277178381548
y_norm_median,1.9220438476073163,0.07733944935129303
activity_counts,1.866568743824862,0.08662299784363822
jerk_magnitude,1.8355645950356478,0.09224860296931411
z_norm_skewness,1.8175603100877695,0.09566746895320961
y_norm_std,1.7739457867206507,0.10443548593991335
auc_x,1.7444687111803558,0.11076953339896947
jerk_y_mean,1.719053342116899,0.11650837553482524
z_norm_rms,1.6376341333522078,0.13674200761196317
x_norm_mean,1.609711572988749,0.1443721103648205
y_norm_rms,1.5542767402099025,0.1606452954258713
x_norm_rms,1.464367211878198,0.1904580428080036
angle_xz_yz,1.4293024675792139,0.20331374863274987
z_norm_std,1.4115558351117934,0.21009646725555817
peaks_per_window,1.4027215105234132,0.21354356870118127
y_norm_kurtosis,1.3801543574664805,0.2225656360137187
troughs_per_window,1.366815604110432,0.2280466115073901
z_norm_spectral_centroid,1.345398566230404,0.2370813411667913
angle_xy_xz,1.3231745727028352,0.2467665788888987
y_norm_var,1.3219192353665097,0.24732318988452023
x_norm_energy,1.2888046641097413,0.26237924456881323
y_norm_max,1.2838003027967135,0.26471766597763047
x_norm_spectral_centroid,1.246775360151851,0.2825414468662543
y_norm_fft_coef_2,1.2293908864563687,0.2912316075707444
x_norm_var,1.1997898677643466,0.3065072363275333
tilt_y,1.1388068899308124,0.3399013648529437
y_norm_energy,1.1274034692278192,0.34643530147527607
z_norm_fft_coef_1,1.0856162503490259,0.3711588407422777
tilt_x,1.0119686402955725,0.41768731390351876
autocorr_y,0.9968827480029331,0.4276737782351163
x_norm_fft_coef_0,0.9893182864074974,0.4327381785150505
y_norm_fft_coef_1,0.891224786863803,0.5016892014488559
x_norm_fft_coef_3,0.7980910783090359,0.5720945089470717
angle_xy_yz,0.7691446995555958,0.5947463812692443
x_norm_max,0.7674708562848659,0.5960651671307098
z_norm_fft_coef_0,0.7565046988487741,0.6047269687179722
entropy_z,0.6708641182139649,0.6732973647367867
entropy_y,0.6708641182139311,0.6732973647368161
entropy_x,0.6708641182139266,0.6732973647368161
z_norm_zero_crossing_rate,0.6654399688079077,0.677670041891883
x_norm_kurtosis,0.6594765626188035,0.6824778552572964
magnitude_var,0.6120389583154047,0.7206455715396047
y_norm_mean,0.5618233642617999,0.7605564928801312
z_norm_fft_coef_2,0.510460576358603,0.8002785992366528
magnitude_mean,0.4985381206704025,0.8092704811640967
svm,0.4985381206704025,0.8092704811640967
z_norm_mean,0.42903743299826114,0.8593172463261726
avg_window_slope,0.3955341412700906,0.8816344091429092
y_norm_fft_coef_0,0.39158758856688003,0.8841711449049607
magnitude_rms,0.33396545530106136,0.9186861710514572
sma,0.17687282548527566,0.982950415169217
